Question,Topic
Define the 4 different layers of the TCP/IP Reference Model,General
Differentiate OSI Reference Model with TCP/IP Reference Model,General
What are the HTTP and the HTTPS protocol?,General
What is the FTP protocol?,General
What is the TCP protocol?,General
What is the UDP protocol?,General
Compare between TCP and UDP,General
What is the ICMP protocol?,General
What do you mean by the DHCP Protocol?,General
What is the ARP protocol?,General
What is the MAC address and how is it related to NIC?,General
Differentiate the MAC address with the IP address,General
What is a subnet?,General
Compare the hub vs switch,General
What is the difference between the ipconfig and the ifconfig?,General
What is the firewall?,General
"What are Unicasting, Anycasting, Multicasting and Broadcasting?",General
What happens when you enter google.com in the web browser?,General
VM creation is possible using Azure Resource Manager in a Virtual Network which was created by means of classic deployment. True or False?,Cloud Computing
Can you tell something about Azure Cloud Service?,Cloud Computing
What are the various models available for cloud deployment?,Data Science
Define role instance in Azure.,Cloud Computing
How many cloud service roles are provided by Azure?,Cloud Computing
Why is Azure Diagnostics API needed?,Cloud Computing
Define Azure Service Level Agreement (SLA)?,Cloud Computing
What is Azure Resource Manager?,Cloud Computing
What is NSG?,General
What do you understand about cloud computing?,Cloud Computing
What is the best Azure solution for executing the code without a server?,Cloud Computing
What is Azure Blob Storage?,Cloud Computing
Is it possible to get a public DNS or IP address for the Azure Internal Load Balancer?,Cloud Computing
What would happen when the maximum failed attempts are reached during the process of Azure ID Authentication?,Data Science
What are the differences between Azure Scale Sets and Availability Sets?,Data Science
Is it possible to login to a Linux Virtual Machine without using a password?,General
What would be the best feature recommended by Azure for having a common file sharing system between multiple virtual machines?,Cloud Computing
What is Azure Redis Cache?,Cloud Computing
Define Azure virtual machine scale sets,Cloud Computing
What do you understand about the “Availability Set”?,Data Science
What are the available options for deployment environments provided by Azure?,Data Science
What do you need to do when drive failure occurs?,Data Science
Is it possible to design applications that handle connection failure in Azure?,Data Science
Define azure storage key.,Cloud Computing
What is cspack in Azure?,Cloud Computing
What do you understand by Azure Scheduler?,Cloud Computing
"Is it possible to map the Windows machines running on two different port numbers, say 80 and 81, on an IIS Web Server to an Azure Load Balancer?",Cloud Computing
"You have an application running on the On-Prem Server and have backup on Azure East US region. Now, On-Prem server application access fails. Is it possible to access the application via the Azure environment?",Data Science
What feature of Azure can be used to stop the issue of high load on the application in cases of no man support on the flow?,Cloud Computing
What are the types of storage services apart from blob storage provided by Azure?,Cloud Computing
"What are IaaS, PaaS and SaaS?",General
What are the differences between the Azure Table Storage and the Azure SQL service?,SQL
Consider a scenario where an application front end hosting is done on Azure but the customer needs the database hosting to be done on on-premise server due to security concerns. What are the ways to handle the connectivity in Azure for this scenario?,SQL
What are the differences between the Azure Storage Queue and the Azure Service Bus Queue?,Cloud Computing
What are the possible causes of the client application to be disconnected from the cache?,General
How can a VM be created by means of Azure CLI?,Cloud Computing
What is automation testing?,Testing
What is the test automation pyramid?,General
What are some of the best practices in test automation?,General
What is automated regression testing?,Testing
Why do you need cross-browser testing?,Testing
What is cross-browser testing?,Testing
What is browser automation?,General
What is a test environment?,General
Should you automate all testing?,Testing
What are the different parts of a test automation framework?,General
How do you choose a tool/framework for automated testing?,Testing
When will you avoid automated testing?,Testing
When is a good time to automate a test?,General
What’s the difference between manual testing and automated testing?,Testing
What are the types of automation testing?,Testing
How will you automate the basic login in a web application?,General
What is Selenium? What are its pros and cons?,Testing
What are the different components of Selenium?,Testing
What is UI testing?,Testing
What is Protractor?,General
What is a test automation platform?,General
What are some of the alternatives to Selenium?,Testing
What is the Robot framework? Provide a brief overview of its architecture.,General
What are the test library APIs provided by the Robot Framework?,General
Who should be responsible for test automation? Developers or the QA?,Testing
What are some risks associated with automated testing?,Testing
What are the different phases in an automation testing life cycle?,Testing
What is CAPTCHA?,General
How do you automate the testing of CAPTCHA?,Testing
What are some development practices to follow when writing automated tests?,General
"When selecting an automation tool, what features will you look for?",General
Is automated testing making manual testing obsolete?,Testing
Conclusion,General
What is portable Wi-Fi hotspot?,General
What are the features of Android architecture?,Mobile Development
List the languages used to build Android.,Mobile Development
What is an activity?,General
What is a service in Android?,Mobile Development
Differentiate Activities from Services.,General
What is Google Android SDK? Which are the tools placed in Android SDK?,Mobile Development
What is the use of Bundle in Android?,Mobile Development
What is an Adapter in Android?,Mobile Development
What is AAPT?,General
What is Android?,Mobile Development
What is Android Debug Bridge(ADB)?,Mobile Development
What is DDMS?,General
What is AIDL? Which data types are supported by AIDL?,Data Science
What is a Toast? Write its syntax.,General
What is context?,General
Explain the difference between Implicit and Explicit Intent.,Data Science
What is ANR in Android? What are the measures you can take to avoid ANR?,Mobile Development
What are the troubleshooting techniques you can follow if an application is crashing frequently?,General
Explain different launch modes in Android.,Data Science
What are containers?,Data Science
What is the role of Dalvik in Android development?,Mobile Development
What is the latest version of Android? List all the versions of Android.,Mobile Development
"Mention the difference between class, file and activity in Android?",Mobile Development
What is the life cycle of Android activity?,Mobile Development
Explain Sensors in Android.,Data Science
Explain the dialog boxes supported on Android.,Data Science
What is AndroidManifest.xml file and why do you need this?,Mobile Development
What is an intent?,General
What are broadcast receivers? How is it implemented?,General
Explain in detail about the important file and folders used when you create a new Android application.,Data Science
What is the difference between Serializable and Parcelable? Which is the best approach in Android?,Mobile Development
What database is used in Android? How it is different from client-server database management systems?,SQL
What are the differences between Service and Thread?,General
What is the content provider? How it is implemented?,General
What is the significance of the .dex file?,General
What is the difference between compileSdkVersion and targetSdkVersion?,General
Explain about java classes related to the use of sensors on Android.,Data Science
What is JobScheduler?,General
How do you deal with criticism?,General
Why do you want to work for our company?,General
What are your greatest strengths and weaknesses?,General
Why are you looking for a change?,General
Tell me about the gap in your resume.,General
How would you rate yourself on a scale of 1 to 10?,General
What is your biggest achievement so far?,General
Where do you see yourself in 5 years?,General
Why should we hire you?,General
Tell me about yourself.,General
Tell me how you will handle it if suddenly the priorities of a project were changed?,General
What Are These Behavioural Questions,General
Tell me about a time when you were not satisfied with your performance?,General
Tell me about a time when you were made to work under close supervision.,General
Can you tell me about a time where you were happy with your work and what was your reaction?,JavaScript
Tell me about a time where you experienced difficulty at work while working on a project.,General
Tell me about a time where you displayed leadership skills.,General
Was there any point in your career where you made any mistake? Tell me about it.,General
How did you handle disagreements with your manager?,General
Will you lie for the company under any circumstances?,General
Consider the scenario - You win a million-dollar lottery. Would you still be working?,General
What would you do if you were working under a bad boss?,General
What do you think is an ideal work environment?,General
What does motivation mean to you?,General
What is your dream company like?,General
What do you do to ensure that a certain number of tasks is completed effectively?,Data Science
What would you prefer - being liked or being feared?,General
How long do you think you will be working for us if you are hired?,General
"If you were reborn as an animal, what animal would you want to be?",General
What do you think is better - being perfect and delivering late or being good and delivering on time?,General
"Judy’s mother had 4 children. The eldest one was April, the second child was May and the third child was June. What was the name of the fourth child?",General
How many times in a day does the clock’s hand overlap?,General
You have only two vessels of 3l and 5l volume and you are given an unending supply of water. Can you find out how to get 4l of water just by using these two vessels?,General
What to expect?,General
What is your current salary?,General
What is your salary expectation?,General
How much do you think you should be paid by looking at your qualifications?,Data Science
What do you understand by RESTful Web Services?,Web Development
Define Messaging in terms of RESTful web services.,Web Development
Can you tell the disadvantages of RESTful web services?,Web Development
What are the HTTP Methods?,General
What are HTTP Status codes?,General
What do you understand by JAX-RS?,General
What is the concept of statelessness in REST?,General
What are the features of RESTful Web Services?,Web Development
What is URI?,General
What is a REST Resource?,General
Differentiate between SOAP and REST?,General
"While creating URI for web services, what are the best practices that needs to be followed?",Web Development
What are the best practices to develop RESTful web services?,Web Development
What are Idempotent methods? How is it relevant in RESTful web services domain?,Data Science
What are the differences between REST and AJAX?,General
Can you tell what constitutes the core components of HTTP Request?,General
What constitutes the core components of HTTP Response?,General
Define Addressing in terms of RESTful Web Services.,Web Development
What are the differences between PUT and POST in REST?,General
What makes REST services to be easily scalable?,General
"Based on what factors, you can decide which type of web services you need to use - SOAP or REST?",Web Development
We can develop webservices using web sockets as well as REST. What are the differences between these two?,General
Can we implement transport layer security (TLS) in REST?,General
Should we make the resources thread safe explicitly if they are made to share across multiple clients?,General
What is Payload in terms of RESTful web services?,Web Development
Is it possible to send payload in the GET and DELETE methods?,General
How can you test RESTful Web Services?,Web Development
What is the maximum payload size that can be sent in POST methods?,General
How does HTTP Basic Authentication work?,General
What is the difference between idempotent and safe HTTP methods?,General
How can the JAX-RS applications be configured?,General
What do you understand by request method designator annotations?,General
Is it possible to make asynchronous requests in JAX-RS?,General
List the key annotations that are present in the JAX-RS API?,General
Define RESTful Root Resource Classes in the JAX-RS API?,General
What are the key features provided by JAX-RS API in Java EE?,Java
Define RestTemplate in Spring.,General
What is the use of @RequestMapping?,General
What are the differences between the annotations @Controller and @RestController?,General
What does the annotation @PathVariable do?,General
Is it necessary to keep Spring MVC in the classpath for developing RESTful web services?,Web Development
Define HttpMessageConverter in terms of Spring REST?,General
Conclusion,General
Can you name the important standard streams in the UNIX shell scripting?,General
Define a single-user system.,General
Name a few significant features of UNIX?,General
Can you write a command to erase all files in the current directory including all its sub-directories?,General
Describe a link in UNIX.,General
Describe pipes in Unix,General
"In Shell scripting, how do you separate the grep and egrep?",General
What is the fork() system call?,General
What is meant by the term Super User?,General
"What do chmod, chown, chgrp commands do?",General
Explain Unix Architecture,Data Science
What is the ‘nohup’ in UNIX?,General
Can you enlist some commonly used network commands?,General
Explain a path in UNIX and different types of pathnames.,Data Science
Explain Superblock in UNIX.,Data Science
Enlist some file manipulation commands in UNIX.,General
Explain networking stack and protocol.,Data Science
Explain the alias mechanism.,Data Science
What is a wildcard and how is it used?,General
What are system calls and library functions in terms of Unix commands?,General
"In shell scripting, what is the significance of the Shebang line?",General
Differentiate between swapping and paging?,General
What is a daemon?,General
Can you explain the method of changing file access permission?,Data Science
Explain the process model of Unix?,Data Science
Explain the term filter.,Data Science
What can you tell about shell variables?,General
What do you know about the MBR?,General
Explain the file system in UNIX,Data Science
Name the various commands that are used for the user information in UNIX.,General
Explain Virtual memory,Data Science
Explain the kill() system call and its return values?,Data Science
Explain mount and unmount commands.,Data Science
Can you explain a little bit about command substitution?,Data Science
What is the difference between ps -ef and ps -auxwww?,General
What is the Zombie process in UNIX? How do you find the Zombie process?,General
"You have an IP address in your network, how will you find the hostname and vice versa?",General
Explain system bootup in UNIX.,Data Science
What are different classes of jobs?,General
What are the various IDs in UNIX processes?,General
Conclusion,General
What is the start() and run() method of Thread class?,General
What is Thread in Java?,Java
What are the two ways of implementing thread in Java?,Java
What's the difference between thread and process?,General
What’s the difference between class lock and object lock?,General
What's the difference between User thread and Daemon thread?,General
How can we create daemon threads?,General
What are the wait() and sleep() methods?,Data Science
What’s the difference between notify() and notifyAll()?,General
"Why wait(), notify(), and notifyAll() methods are present in Object class?",Data Science
What is Runnable and Callable Interface? Write the difference between them.,General
What are the benefits of using Multithreading?,General
Explain thread pool?,Data Science
What’s the purpose of the join() method?,General
What do you mean by garbage collection?,General
Explain the meaning of the deadlock and when it can occur?,Data Science
Explain volatile variables in Java?,Data Science
How do threads communicate with each other?,General
Can two threads execute two methods (static and non-static concurrently)?,General
What is the purpose of the finalize() method?,General
"What is ConcurrentHashMap and Hashtable? In java, why is ConcurrentHashMap considered faster than Hashtable?",Java
What is thread starvation?,General
What is Livelock? What happens when it occurs?,General
What is BlockingQueue?,General
Can you start a thread twice?,General
Explain context switching.,Data Science
What is CyclicBarrier and CountDownLatch?,General
What do you mean by inter-thread communication?,Behavioral
What is Thread Scheduler and Time Slicing?,General
What is a shutdown hook?,General
What is busy spinning?,General
What is synchronized method and synchronized block? Which one should be preferred?,General
Explain thread priority.,Data Science
What do you mean by the ThreadLocal variable in Java?,Java
What is semaphore?,General
Explain Thread Group. Why should we not use it?,Data Science
What is the ExecutorService interface?,General
What will happen if we don’t override the thread class run() method?,General
What is the lock interface? Why is it better to use a lock interface rather than a synchronized block.?,General
Is it possible to call the run() method directly to start a new thread?,General
Is it possible that each thread can have its stack in multithreaded programming?,General
What is the synchronization process? Why use it?,General
Conclusion,General
What are the primitive types in TypeScript?,General
Explain how the arrays work in TypeScript.,Data Science
"What is any type, and when to use it?",General
"What is void, and when to use the void type?",General
"What is an unknown type, and when to use it in TypeScript?",General
What are the different keywords to declare variables in TypeScript?,General
Explain the arrow function syntax in TypeScript.,Data Science
Provide the syntax of a function with the type annotations.,General
How to create objects in TypeScript?,General
How to specify optional properties in TypeScript?,General
Explain the concept of null and its use in TypeScript.,Data Science
What is undefined in TypeScript?,General
Explain the purpose of the never type in TypeScript.,Data Science
Explain how enums work in TypeScript?,Data Science
What is the typeof operator? How is it used in TypeScript?,General
What are the rest parameters and arguments in TypeScript?,General
What is parameter destructuring?,General
Explain the TypeScript class syntax.,Data Science
Provide the syntax for optional parameters in TypeScript.,General
What is the purpose of the tsconfig.json file?,General
How to enforce strict null checks in TypeScript?,General
"Does TypeScript support static classes? If not, why?",General
What are type assertions in TypeScript?,General
Explain how tuple destructuring works in TypeScript.,Data Science
Explain the tuple types in TypeScript.,Data Science
What are type aliases? How do you create one?,General
What are intersection types?,General
What are union types in TypeScript?,General
What are anonymous functions? Provide their syntax in TypeScript.,General
What are abstract classes? When should you use one?,General
How to make object properties immutable in TypeScript? (hint: readonly),General
What is a type declaration file?,General
What are triple-slash directives?,General
Explain the purpose of the ‘in’ operator.,Data Science
What are the ‘implements’ clauses in TypeScript?,General
What are string literal types?,General
What are template literal types?,General
Explain the concept of inheritance in TypeScript.,Data Science
What are conditional types? How do you create them?,General
What is the Function type in TypeScript?,General
List some of the utility types provided by TypeScript and explain their usage.,Data Science
Explain the various ways to control member visibility in TypeScript.,Data Science
Explain the different variants of the for loop in TypeScript.,Data Science
Explain the symbol type in TypeScript.,Data Science
Explain how optional chaining works in TypeScript.,Data Science
Provide the TypeScript syntax to create function overloads.,General
What is meant by type inference?,General
What is meant by contextual typing?,General
What is the purpose of noImplicitAny?,General
What is an interface?,General
Conclusion,General
List some of the features of Angular 8 which differentiate it from the previous versions of Angular.,JavaScript
How can we load and run an Angular Application?,JavaScript
How can we check the type of value assigned to a given variable in Angular 8?,JavaScript
Why are template-driven forms used in Angular 8?,JavaScript
Why are reactive forms used in Angular 8?,JavaScript
Describe the importance of WildCard Route in Angular 8.,JavaScript
What is CodeLyzer in Angular 8?,JavaScript
What is the use of Bazel in Angular 8?,JavaScript
What do you understand about Ivy in Angular 8?,JavaScript
Explain Lazy Loading in Angular with appropriate syntax.,Data Science
Why do applications compiled with AOT (Ahead of compilation) launch faster?,General
Explain Event Binding with an appropriate example.,Data Science
What do you understand about NgModules in Angular 8?,JavaScript
Justify the need for Angular 8 components.,JavaScript
What is String Interpolation in Angular 8? Explain with an example.,Data Science
Explain the concept of Data Binding.,Data Science
Write the syntax for ngIf Directive. Why is it used?,General
What is the usage of NgUpgrade in Angular 8?,JavaScript
How can we create an application in Angular version 8?,JavaScript
List a few key parts of the Angular 8 architecture,JavaScript
What do you understand by workflow in Salesforce?,General
What is an object in Salesforce?,General
What is meant by an App in Salesforce?,General
Explain different types of apps we can use in Salesforce.,Data Science
What is sharing rule?,General
What is an Audit trail in Salesforce?,Data Science
What is the difference between role and profile?,General
What is a profile in Salesforce? Can two users have the same profile?,General
What is a Master–Detail relationship in Salesforce?,Data Science
What is dashboard in Salesforce?,General
What are the features of Salesforce,General
What are the benefits of using Salesforce CRM?,General
What is trigger in Salesforce?,General
What is the difference between static and dynamic dashboards in Salesforce?,General
What is Apex in Salesforce?,General
Explain different components of dashboard available in Salesforce.,Data Science
What are Governor limits in Salesforce?,General
What is junction object in Salesforce?,General
What are Permission sets?,General
What are the different types of reports available in Salesforce?,Data Science
Explain the Force.com platform,Data Science
What are validation rules in Salesforce?,General
What causes data loss in Salesforce?,General
What is Visualforce in Force.com?,General
What are the differences between trigger and workflow in Salesforce?,General
What are record types in Salesforce?,General
What are page layouts related to Salesforce?,General
What are the two types of triggers in Salesforce?,General
What is fiscal year or economical year in Salesforce?,General
Explain skinny table. What are the considerations for skinny table?,Data Science
Explain the types of SOQL statements in Salesforce.,Data Science
What are the different types of email templates available in Salesforce?,Data Science
What is Salesforce lightning?,General
Can you give an example of a Salesforce API and its usage?,General
What are the differences between SOQL and SOSL in salesforce?,General
What do you mean by a sandbox in Salesforce?,General
Explain the various types of object relationships in Salesforce.,Data Science
How many ways we can share a record?,General
What is a wrapper class in Salesforce?,General
What is Future annotation(@future)?,General
What is YARN in Spark?,Data Engineering
What are the features of Apache Spark?,Data Engineering
What is RDD?,General
What does DAG refer to in Apache Spark?,Data Engineering
List the types of Deploy Modes in Spark.,Data Engineering
What are receivers in Apache Spark Streaming?,Data Engineering
What is the difference between repartition and coalesce?,General
What are the data formats supported by Spark?,Data Engineering
What do you understand by Shuffling in Spark?,Data Engineering
What is Apache Spark?,Data Engineering
Why do we need broadcast variables in Spark?,Data Engineering
What are the functions of SparkCore?,Data Engineering
What do you understand by worker node?,General
What are some of the demerits of using Spark in applications?,Data Engineering
How can the data transfers be minimized while working with Spark?,Data Engineering
What is SchemaRDD in Spark RDD?,Data Engineering
What module is used for implementing SQL in Apache Spark?,SQL
What are the different persistence levels in Apache Spark?,Data Engineering
What are the steps to calculate the executor memory?,General
Define Executor Memory in Spark,Data Engineering
"Differentiate between Spark Datasets, Dataframes and RDDs.",Data Engineering
"Can Apache Spark be used along with Hadoop? If yes, then how?",Data Engineering
What are Sparse Vectors? How are they different from dense vectors?,General
How are automatic clean-ups triggered in Spark for handling the accumulated metadata?,Data Engineering
How is Caching relevant in Spark Streaming?,Data Engineering
Define Piping in Spark.,Data Engineering
What API is used for Graph Implementation in Spark?,Data Engineering
How can you achieve machine learning in Spark?,Data Science
How is Apache Spark different from MapReduce?,Data Engineering
Explain the working of Spark with the help of its architecture.,Data Science
What is the working of DAG in Spark?,Data Engineering
Under what scenarios do you use Client and Cluster modes for deployment?,Mobile Development
What is Spark Streaming and how is it implemented in Spark?,Data Engineering
Write a spark program to check if a given keyword exists in a huge text file or not?,Data Engineering
What can you say about Spark Datasets?,Data Engineering
Define Spark DataFrames.,Data Engineering
Explain different types of Web Services.,Data Science
What are the important features of Web services?,Web Development
What are the different components of Web Services?,Web Development
Explain the term Synchronicity.,Data Science
Write the difference between API and Web services.,Web Development
Name the tools that are used to test web services.,Web Development
What is WSDL?,General
What is XML-RPC?,General
What are the features of XML-RPC?,General
What do you mean by UDDI?,General
What are the important features of UDDI?,General
Name the language that is commonly used by UDDI.,General
Explain web service Architecture.,Data Science
What is a Web Service Provider?,General
What is a Web service Requestor?,General
What is a Web Service Registry?,General
What are the different layers of the web service protocol stack?,General
What are RESTful Web Services?,Web Development
What are the advantages of RESTful web service?,General
Which protocol is used by RESTful web services?,Web Development
Explain the term statelessness with respect to RESTful web Services. Write its advantages.,Data Science
Name HTTP methods that can be used with RESTful web services.,Web Development
What are the written status codes for REST API?,General
What do you mean by SOAP? Write its advantages.,General
What are the different elements of the SOAP Document or message?,General
What do you mean by SOA?,General
What are the advantages of using SOA,General
Name three primary security issues of Web Services?,Web Development
Name some components that are needed to be published while deploying a web service.,General
What do you mean by sun-jaxws.xml file?,General
Explain the term Distributed Technologies.,Data Science
Is there any need for a special application to have access to the Web service?,General
Name two Microsoft solutions for distributed applications.,General
Name some important annotations of JAX-RS API.,General
What do you mean by JAX-RS API? Write some implementations of JAX-RS API.,General
Name some important annotations of JAX-WS.,General
What do you mean by JAX-WS API? Write some implementations of JAX-WS API.,General
What do you mean by Java Web services? Name the methods to create web services.,Java
What do you mean by EIS and EPS?,General
What is an Entrust Entitlement Service?,General
Explain wsimport?,Data Science
What do you mean by DISCO?,General
What is BEEP?,General
Give an example of working for a Web Service Provider.,General
What is the importance of URI in REST based web services?,Web Development
What's the importance of security in web services?,Web Development
What’s the difference between Web services and CORBA or DCOM?,Web Development
What are .NET Web services and .NET Remoting? Write the difference between them.,Web Development
How to implement web services in .NET?,Web Development
What is the importance of using @XmlRootElement?,General
Explain the term JAXP.,Data Science
What is JAXB? Name three different packages in JAXB binding framework.,General
"Name the web service method that is read-only, and is idempotent?",General
Explain Spring Web Service.,Data Science
"Spring-WS support contract last development approach. Yes, or no?",General
Why is Web service important?,General
Conclusion,General
Explain the JSP while loop.,Data Science
What is JSP?,General
Explain the JSP for loop.,Data Science
What are JSP Operators?,General
What is JSP Expression Language (EL)?,General
What is the difference between JSP and Javascript?,Java
What are the types of elements with Java Server Pages (JSP)?,Java
Explain the Life Cycle of a servlet.,Data Science
What are Servlets?,General
What is Java Server Template Engines?,Java
What are some of the advantages of using JSP?,General
What is the use of JSP?,General
How does JSP Initialization take place?,General
How does JSP work?,General
What is a JSP Declaration?,General
What is MVC in JSP?,General
What is the JSP Scriptlet?,General
What are the various action tags used in JSP?,General
Explain the anatomy of a JSP page?,Data Science
How does JSP processing take place?,General
What is an Exception Object?,General
Which methods are used for reading form data using JSP?,General
What are JSTL Core tags used for?,General
What is JSTL?,General
What is J2EE?,General
What do you mean by JavaBeans?,Java
What are Implicit JSP Objects?,General
Can we display a web page inside a web page or Is nesting of webpages possible?,General
What are tags and attributes in HTML?,Web Development
What are void elements in HTML?,Web Development
What is the advantage of collapsing white space?,General
What are HTML Entities?,Web Development
What are different types of lists in HTML?,Web Development
What is the ‘class’ attribute in HTML?,Web Development
What is the difference between the ‘id’ attribute and the ‘class’ attribute of HTML elements?,Web Development
Define multipart form data?,General
Describe HTML layout structure.,Web Development
How to optimize website assets loading?,General
What are the various formatting tags in HTML?,Web Development
What are the different kinds of Doctypes available?,Data Science
Please explain how to indicate the character set being used by a document in HTML?,Data Science
"What is the difference between <strong>, <b> tags and <em>, <i> tags?",General
What is the significance of <head> and <body> tag in HTML?,Web Development
Are the HTML tags and elements the same thing?,Web Development
How is Cell Padding different from Cell Spacing?,General
How can we club two or more rows or columns into a single row or column in an HTML table?,Web Development
Is it possible to change an inline element into a block level element?,General
In how many ways can we position an HTML element? Or what are the permissible values of the position attribute?,Web Development
In how many ways you can display HTML elements?,Web Development
"What is the difference between “display: none” and “visibility: hidden”, when used as attributes to the HTML element.",Web Development
How to specify the link in HTML and explain the target attribute?,Data Science
In how many ways can we specify the CSS styles for the HTML element?,Web Development
Difference between link tag <link> and anchor tag <a>?,General
How to include javascript code in HTML?,Java
When to use scripts in the head and when to use scripts in the body?,General
What are forms and how to create forms in HTML?,Web Development
How to handle events in HTML?,Web Development
What is new about the relationship between the <header> and <h1> tags in HTML5?,Web Development
Inline and block elements in HTML5?,Web Development
What is the difference between <figure> tag and <img> tag?,General
How to specify the metadata in HTML5?,Web Development
Is the <datalist> tag and <select> tag same?,General
Define Image Map?,General
What are Semantic Elements?,General
Convert the below data into Tabular format in HTML5?,Web Development
What is the difference between <meter> tag and <progress> tag?,General
Is drag and drop possible using HTML5 and how?,Web Development
Difference between SVG and Canvas HTML5 element?,Web Development
What type of audio files can be played using HTML5?,Web Development
What are the significant goals of the HTML5 specification?,Web Development
Explain the concept of web storage in HTML5.,Data Science
What is Microdata in HTML5?,Web Development
Which tag is used for representing the result of a calculation? Explain its attributes.,Data Science
How can we include audio or video in a webpage?,General
Explain HTML5 Graphics.,Data Science
Explain new input types provided by HTML5 for forms?,Data Science
What are the New tags in Media Elements in HTML5?,Web Development
Why do you think the addition of drag-and-drop functionality in HTML5 is important? How will you make an image draggable in HTML5?,Web Development
Why do we need the MathML element in HTML5?,Web Development
What are the server-sent events in HTML5?,Web Development
What are Web Workers?,General
What is the usage of a novalidate attribute for the form tag that is introduced in HTML5?,Web Development
What are raster images and vector images?,General
How to support SVG in old browsers?,General
What are different approaches to make an image responsive?,General
What is a manifest file in HTML5?,Web Development
What is the Geolocation API in HTML5?,Web Development
Write HTML5 code to demonstrate the use of Geolocation API.,Web Development
Explain Web Components and it’s usage.,Data Science
What are some of the advantages of HTML5 over its previous versions?,Web Development
Explain big data and list its characteristics.,Data Science
What are the three modes that hadoop can Run?,Data Engineering
Explain Hadoop. List the core components of Hadoop,Data Science
Explain the Storage Unit In Hadoop (HDFS).,Data Science
Mention different Features of HDFS.,General
What are the Limitations of Hadoop 1.0 ?,Data Engineering
Compare the main differences between HDFS (Hadoop Distributed File System ) and Network Attached Storage(NAS) ?,Data Science
List Hadoop Configuration files.,Data Engineering
Explain Hadoop MapReduce.,Data Science
What is shuffling in MapReduce?,General
List the components of Apache Spark.,Data Engineering
Mention features of Apache sqoop.,Software Engineering
What is an Apache Hive?,General
What is Apache Pig?,General
Explain the Apache Pig architecture.,Data Science
What is Yarn?,General
List the YARN components.,General
What is Apache ZooKeeper?,General
What are the Benefits of using zookeeper?,General
Mention the types of Znode.,General
List Hadoop HDFS Commands.,Data Engineering
What is DistCp?,General
Why are blocks in HDFS huge?,General
What is the default replication factor?,General
How can you skip the bad records in Hadoop?,Data Engineering
Where are the two types of metadata that NameNode server stores?,General
Which Command is used to find the status of the Blocks and File-system health?,General
Write the command used to copy data from the local system onto HDFS?,General
Explain the purpose of the dfsadmin tool?,Data Science
Explain the actions followed by a Jobtracker in Hadoop.,Data Science
Explain the distributed Cache in MapReduce framework.,Data Science
List the actions that happen when a DataNode fails.,Data Science
What are the basic parameters of a mapper?,General
Mention the main Configuration parameters that has to be specified by the user to run MapReduce.,Data Science
Explain the Resilient Distributed Datasets in Spark.,Data Science
Give a brief on how Spark is good at low latency workloads like graph processing and Machine Learning.,Data Science
What  applications are supported by Apache Hive?,General
Explain a metastore in Hive?,Data Science
Compare differences between Local Metastore and Remote Metastore,General
Are Multiline Comments supported in Hive? Why?,General
Why do we need to perform partitioning in Hive?,General
Mention the consequences of Distributed Applications.,General
How can you restart NameNode and all the daemons in Hadoop?,Data Engineering
How do you differentiate inner bag and outer bag in Pig.,General
"If the source data gets updated every now and then, how will you synchronize the data in HDFS that is imported by Sqoop?",Software Engineering
Where is table data stored in Apache Hive by default?,General
What is the default File format to import data using Apache sqoop?,Software Engineering
What is the use of the -compress-codec parameter?,General
What is Apache Flume in Hadoop ?,Data Engineering
Explain the architecture of Flume.,Data Science
What is scope hierarchy?,General
Define Scope in AngularJS.,JavaScript
What do the services represent in AngularJS?,JavaScript
What are directives?,General
Explain the data binding process in AngularJS.,Data Science
Explain the purpose of interpolation in AngularJS?,Data Science
How can you integrate AngularJS with HTML?,JavaScript
Define $rootScope in AngularJS application.,JavaScript
Differentiate between ng-if and ng-show directives.,General
Why is $watch used?,General
Define AngularJS and what are its key features?,JavaScript
What is an AngularJS module?,JavaScript
What can you say about the digest phase in AngularJS?,JavaScript
What does the following code do? What are the permitted values of the restrict attribute?,General
Differentiate between compile and link in AngularJS?,JavaScript
How does routing work in AngularJS?,JavaScript
Write a syntax to send sample HTTP POST request in AngualrJS?,General
What is the importance of the $location service?,General
What is the importance of orderBy?,General
Why do we use ng-include?,General
Is it possible to create nested controllers?,General
What are AngularJS filters?,JavaScript
What is the importance of track by in the ng-repeat directive?,General
What are the different phases of the lifecycle of AngularJS Scope?,JavaScript
How will you improve performance of an AngularJS application?,JavaScript
What is the difference between the scopes of a directive and the scopes of a controller?,General
How will you hide an HTML tag element on click of a button click in AngularJS? Write a program for the same.,JavaScript
How can you maintain logs in AngularJS?,Data Science
How do you achieve internationalization?,General
What is the auto bootstrap process?,General
What are the lifecycle hooks available?,Data Science
What is the difference between the $ and the $$ prefixes?,General
Differentiate between expressions of AngularJS and JavaScript.,Java
List out the scope characteristics in AngularJS?,JavaScript
How is the mouse double click event accomplished?,General
How can you reset a $timeout and disable a $watch()?,General
Why is the findIndex() method used? What does it return in case the value is not found?,General
Is it possible for a parent controller to access the methods and properties of the child controller?,General
What can you tell about the given piece of code?,General
What is Cucumber? Explain the need of using Cucumber.,Data Science
What is Gherkin Language?,General
What is the principle of Behaviour Driven Development?,General
What are the primary keywords in Cucumber?,General
Which language is used in Cucumber?,General
What do you mean by scenario in Cucumber Testing?,Testing
What do you mean by Scenario Outline?,General
